idx,c,mean_error,std_dev_mean_error,rms_error,std_dev_rms_error,success_rate
0.000000000000000000e+00,5.000000000000000278e-02,3.829932491531795602e-01,0.000000000000000000e+00,3.872883627526597650e-01,0.000000000000000000e+00,1.000000000000000056e-01
0.000000000000000000e+00,6.133333333333333692e-02,2.726596361773351851e-01,1.455148031286697674e-01,2.442304586873386418e-01,1.215682194976656638e-01,6.999999999999999556e-01
0.000000000000000000e+00,7.266666666666667107e-02,2.232211144551419502e-01,1.218328308910731766e-01,2.298632607384065996e-01,1.221326015328864784e-01,6.999999999999999556e-01
0.000000000000000000e+00,8.399999999999999134e-02,2.172104065585130084e-01,1.126730828998899758e-01,2.238641241794842862e-01,1.127721152542894290e-01,6.999999999999999556e-01
0.000000000000000000e+00,9.533333333333332549e-02,2.219642742776439803e-01,1.074305417830971471e-01,2.285834471377231059e-01,1.075320435805472014e-01,6.999999999999999556e-01
0.000000000000000000e+00,1.066666666666666596e-01,2.287822667736400528e-01,1.059305233890845410e-01,2.351970285674692129e-01,1.060877478259023426e-01,6.999999999999999556e-01
0.000000000000000000e+00,1.179999999999999938e-01,2.347481918014314439e-01,1.078261330866141371e-01,2.409448179674746060e-01,1.079282586843178932e-01,6.999999999999999556e-01
0.000000000000000000e+00,1.293333333333333279e-01,2.404460762013717612e-01,1.123129697082354134e-01,2.464833912223072521e-01,1.122474032598012317e-01,6.999999999999999556e-01
0.000000000000000000e+00,1.406666666666666621e-01,2.456569778410644389e-01,1.173961124133058309e-01,2.516306532474182900e-01,1.172023525441234088e-01,6.999999999999999556e-01
0.000000000000000000e+00,1.519999999999999962e-01,2.510399740693890491e-01,1.226860361261954829e-01,2.570576449378529360e-01,1.224715109501227639e-01,6.999999999999999556e-01
0.000000000000000000e+00,1.633333333333333304e-01,2.567257602894568724e-01,1.278758216521376223e-01,2.628270893261464569e-01,1.276629971505780226e-01,6.999999999999999556e-01
0.000000000000000000e+00,1.746666666666666645e-01,2.628600612914494539e-01,1.330491388093899552e-01,2.692109172444428489e-01,1.330468639277685716e-01,6.999999999999999556e-01
0.000000000000000000e+00,1.859999999999999987e-01,2.705886386760060769e-01,1.400950359105812559e-01,2.783776645429744678e-01,1.418785825196105244e-01,6.999999999999999556e-01
0.000000000000000000e+00,1.973333333333333051e-01,2.782256199303884681e-01,1.476312029105268375e-01,2.519657320057267502e-01,1.341301219687508206e-01,6.999999999999999556e-01
0.000000000000000000e+00,2.086666666666666670e-01,2.492774731795524001e-01,1.387688153898442023e-01,2.560527308391859491e-01,1.396473946583308701e-01,5.999999999999999778e-01
0.000000000000000000e+00,2.200000000000000011e-01,2.055396949958014086e-01,1.032462957708670109e-01,2.115288187155874022e-01,1.024565178455162234e-01,5.000000000000000000e-01
1.000000000000000000e+00,5.000000000000000278e-02,4.041916061048153597e-01,5.891845244433593920e-02,4.090666004104949738e-01,5.925345674451392569e-02,2.999999999999999889e-01
1.000000000000000000e+00,6.133333333333333692e-02,2.222708564316525637e-01,1.082799868335108939e-01,2.312824619019445971e-01,1.074052507730514083e-01,5.999999999999999778e-01
1.000000000000000000e+00,7.266666666666667107e-02,2.150343363352657799e-01,1.158015619606075491e-01,2.219865248268521885e-01,1.162248361472750513e-01,6.999999999999999556e-01
1.000000000000000000e+00,8.399999999999999134e-02,2.082596024715958893e-01,1.068140020691152881e-01,2.151974840182092341e-01,1.070029823212785974e-01,6.999999999999999556e-01
1.000000000000000000e+00,9.533333333333332549e-02,2.119418337772447647e-01,1.012501176854676277e-01,2.189644009979281603e-01,1.013463018343258581e-01,6.999999999999999556e-01
1.000000000000000000e+00,1.066666666666666596e-01,2.186566393945311437e-01,9.883759495388874661e-02,2.254816238704606957e-01,9.924240800529353368e-02,6.999999999999999556e-01
1.000000000000000000e+00,1.179999999999999938e-01,2.248475240968123567e-01,9.976887043006285594e-02,2.312969819169017061e-01,1.002955381341519570e-01,6.999999999999999556e-01
1.000000000000000000e+00,1.293333333333333279e-01,2.311150596151819170e-01,1.038014986233363746e-01,2.373080777082587078e-01,1.042682488396697027e-01,6.999999999999999556e-01
1.000000000000000000e+00,1.406666666666666621e-01,2.375913101778670267e-01,1.094031274126853470e-01,2.437967373859418474e-01,1.099192097700939230e-01,6.999999999999999556e-01
1.000000000000000000e+00,1.519999999999999962e-01,2.434789913032322506e-01,1.145422425314803483e-01,2.497159276360779168e-01,1.150537436808354436e-01,6.999999999999999556e-01
1.000000000000000000e+00,1.633333333333333304e-01,2.495196715102772356e-01,1.195739344416964361e-01,2.558647087688989408e-01,1.201677061989388090e-01,6.999999999999999556e-01
1.000000000000000000e+00,1.746666666666666645e-01,2.556029981661057104e-01,1.241356642205857647e-01,2.620492951286763073e-01,1.247799149733579971e-01,6.999999999999999556e-01
1.000000000000000000e+00,1.859999999999999987e-01,2.615882057268702487e-01,1.283340634571459582e-01,2.684611588769580393e-01,1.293956327109959392e-01,6.999999999999999556e-01
1.000000000000000000e+00,1.973333333333333051e-01,2.669352872378776831e-01,1.327147885840930797e-01,2.751154438916035283e-01,1.352850166209689231e-01,6.999999999999999556e-01
1.000000000000000000e+00,2.086666666666666670e-01,2.730859619724538279e-01,1.384435410163470381e-01,2.827050173217089957e-01,1.429827968556583728e-01,6.999999999999999556e-01
1.000000000000000000e+00,2.200000000000000011e-01,2.792789417010250186e-01,1.447683473960359180e-01,2.902677069405513732e-01,1.513622898375520942e-01,6.999999999999999556e-01
